reference,description,cost,units
560H4500C,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,781.00,ชุด
560H5000C,รางฯสองตอน ยาว 50ซม/20นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,801.00,ชุด
560H2700B,รางฯสองตอน ยาว 27ซม/10.50นิ้ว     (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,071.00",ชุด
560H3000B,รางฯสองตอน ยาว 30ซม/12นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,071.00",ชุด
560H3500B,รางฯสองตอน ยาว 35ซม/14นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,071.00",ชุด
560H4000B,รางฯสองตอน ยาว 40ซม/16นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,091.00",ชุด
560H4500B,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,101.00",ชุด
560H5000B,รางฯสองตอน ยาว 50ซม/20นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,111.00",ชุด
566H4500B,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,641.00",ชุด
566H5000B,รางฯสองตอน ยาว 50ซม/20นิ้ว          (ซ้าย/ขวา) มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,"1,651.00",ชุด
T51.1700.04L/R,ตัวล็อกกล่องลิ้นชักสีส้ม ด้านซ้าย/ขวา                                                                                   2x36 =,72.00,คู่
T51.7000,ตัวยึดลิ้นชักด้านหลัง สำหรับตะแกรง (Pull-out Surround),12.75,อัน
T55.1151L/R,TIP-ON อุปกรณ์กดกระเด้ง ด้ายซ้าย/ขวาใช้กับราง 550Hxxxx.03 เท่านั้น                           2x199 =,398.00,คู่
T55.7151L/R,TIP-ON อุปกรณ์กดกระเด้ง ด้ายซ้าย/ขวาใช้กับราง 560Hxxxxc เท่านั้น                              2x199 =,398.00,คู่
*557.4501AL/R,รางลิ้นชักสองตอน ยาว 45ซม/80กก. ไม่มี BLUEMOTION ด้านซ้าย/ขวา (สินค้าสั่งพิเศษ)         (MIN.6ชุด),"1,575.00",ชุด
*557.5001AL/R,รางลิ้นชักสองตอน ยาว 50ซม/80กก. ไม่มี BLUEMOTION ด้านซ้าย/ขวา (สินค้าสั่งพิเศษ)         (MIN.6ชุด),"1,580.00",ชุด
558.4501B01,รางลิ้นชักสองตอน ยาว 45ซม/80กก.  มี BLUEMOTION ด้านซ้าย/ขวา (สินค้าสั่งพิเศษ)             (MIN.12ชุด),769.00,ชุด
559.4501BL/R,รางลิ้นชักสองตอน ยาว 45ซม/80กก.  มี BLUEMOTION ด้านซ้าย/ขวา (สินค้าสั่งพิเศษ)             (MIN.12ชุด),919.00,ชุด
558.5001AL/R,รางลิ้นชักสองตอน ยาว 50ซม/30กก. ไม่มี BLUEMOTION               ซ้าย/ขวา           2อัน   x     200.00,400.00,คู่
559.5001AL/R,รางลิ้นชักสองตอน ยาว 50ซม/50กก. ไม่มี BLUEMOTION                   ซ้าย/ขวา           2อัน   x     270.00,540.00,คู่
558.5001BL/R,รางลิ้นชักสองตอน ยาว 50ซม/30กก.  มี BLUEMOTION                   ซ้าย/ขวา           2อัน   x     421.00,842.00,คู่
559.5001BL/R,รางลิ้นชักสองตอน ยาว 50ซม/50กก.  มี BLUEMOTION                       ซ้าย/ขวา           2อัน   x     491.00,982.00,คู่
ZAA.230N.02L/R,ฝาปิดสีเทา                                                                                                ซ้าย/ขวา           2อัน   x        7.50,15.00,คู่
ZAA.330C,ฝาปิดสีเทา                                                                                   ,7.50,อัน
ZAA.430C,ฝาปิดสีเทา (ใช้กับข้างลิ้นชักรุ่น F Version รหัส 358M5002IF เท่านั้น)                                                                                  ,7.50,อัน
ZSF.350.02,ตัวยึดหน้าบานไม่มีปุ๊ก,39.00,อัน
ASF.3902,ตัวยึดหน้าบานมีปุ๊ก Ø 10มม.,39.00,อัน
ZIF.70M0L/R,ตัวยึดหน้าบานลิ้นชักช่อนฯ สีเทาใช้กับลิ้นชักไม่มีราวเสริม                ซ้าย/ขวา            2อัน  x      64.00,128.00,คู่
ZIF.72B0L/R,ตัวยึดหน้าบานลิ้นชักช่อนฯ สีเทาใช้กับลิ้นชักมีราวเสริม1ชั่น             ซ้าย/ขวา            2อัน  x      69.00,138.00,คู่
ZIF.72D0L/R,ตัวยึดหน้าบานลิ้นชักช่อนฯ สีเทาใช้กับลิ้นชักมีแผ่นปิดข้างลิ้นชัก      ซ้าย/ขวา            2อัน  x      74.00,148.00,คู่
ZIF.73D0L/R,ตัวยึดหน้าบานลิ้นชักช่อนฯ สีเทาใช้กับลิ้นชักมีราวเสริม2ชั้น             ซ้าย/ขวา            2อัน  x      74.00,148.00,คู่
ZIF.7008,มือจับใช้กับลิ้นชักซ่อนฯ ทำด้วยไนลอนสีเทา,97.00,อัน
Z33M00E0A6,"อุปกรณ์ลิ้นชักเข้ามุม ""ลิ้นชักเตี้ย""","1,960.00",ชุด
Z33D00E0A6,"อุปกรณ์ลิ้นชักเข้ามุม ""ลิ้นชักสูง dbl.BOXSIDE""","2,660.00",ชุด
ZRU.00Z0.01G,ตัวกั้นแบ่งช่องตามขวางสีเทา,60.00,อัน
ZRU.00F0.G,ตัวกั้นขวดสีเทา,31.00,อัน
ZRU.10B1E,ตัวยึดราวกั้นตามขวางสีเทา แบบมีสปริง ใช้กับแผ่นปิดข้างลิ้นชัก dbl.BOXSIDE,35.00,อัน
ZRG.000E3,ตัวยึดราวเสริมด้านหลังสีเทม ใช้กับตัวยึดหลัง Z30D สำหรับลิ้นชักที่มีราวเสริม 2ชั้น dbl.Gallery),5.75,อัน
Z30N0002.6Z,ตัวยึดไม้แบ่งหน้าลิ้นชักกับข้างลิ้นชัก ทำด้วยไนลอนสีเทา,99.00,ชุด
Z36H000G302L/R,อุปกรณ์ยึดกระจก (ไม่รวมกระจก) ซ้าย/ขวา 2อัน x 132,264.00,คู่
Z40H000A,ตัวยึดแผ่นกั้นแบ่งช่องตามขวางสีเทา มีสปริง ใช้กับ double BOXSIDE ,89.00,อัน
Z40H0002.R,ตัวยึดแผ่นกั้นแบ่งช่องตามขวางสีเทา ไม่มีสปริง ใช้กับ glass BOXSIDE ,89.00,อัน
297.05,"ฉากตัว ""L"" ทำด้วยโลหะ ใช้ยึดพื้นลิ้นชักกับหน้าบาน ",9.25,อัน
Z31A0008,ตัวยึดพื้นลิ้นชักกับหน้าบาน ใช้กับลิ้นชักซ่อนอยู่ในตู้/inner,13.75,อัน
ZIF.7007,มือจับพร้อมตัวล็อก ใช้กับลิ้นชักซ่อนอยู่ในตู้/inner (ลิ้นชักเตี้ย),300.00,อัน
DYA.2441,"แผ่นซีดีโปรแกรม DYNALOG ""ราคาพิเศษ""","3,250.00",--
Z70.31E3L/R,BLUEMOTION housing สีเทา                                                                         ซ้าย/ขวา     2อัน  x    199.00,398.00,คู่
270.3159.02,BLUEMOTION trigger สีเทา                                                                                              2อัน  x      22.00,44.00,คู่
Z70.51E3L/R,BLUEMOTION housing สีเทา/ส้ม                                                                   ซ้าย/ขวา     2อัน  x    199.00,398.00,คู่
Z70.5159.02,BLUEMOTION trigger สีส้ม                                                                                              2อัน  x      22.00,44.00,คู่
*Z70.8159,BLUEMOTION trigger สีดำใช้กับราง 557.xxxxA (สินค้าสั่งพิเศษ)                                          (MIN.250อัน)                                                                                        ,22.00,อัน
M01.ZB45.02,ดอกสว่าน Ø 45มม. หมุนขวา/สีดำ,"3,125.00",อัน
M01.ZB10.03,ดอกสว่าน Ø 45มม. หมุนขวา/สีแดง,780.00,อัน
*357M4502I,ข้างลิ้นชักสแตนเลสยาว 45ซม/80กก. ด้านซ้าย/ขวา พร้อมฝาปิด (สินค้าสั่งพิเศษ)                   (MIN.6ชุด),"3,050.00",ชุด
*357M5002I,ข้างลิ้นชักสแตนเลสยาว 50ซม/80กก. ด้านซ้าย/ขวา พร้อมฝาปิด (สินค้าสั่งพิเศษ)                   (MIN.6ชุด),"3,100.00",ชุด
358M4502I,ข้างลิ้นชักสแตนเลสยาว 45ซม/30-50กก. ด้านซ้าย/ขวา พร้อมฝาปิด (สินค้าสั่งพิเศษ)       (MIN.6ชุด),"1,249.00",ชุด
358M5002IL/R,ข้างลิ้นชักสแตนเลสยาว 50ซม/30-50กก.                                          ซ้าย/ขวา                 2อัน   x     570.00,"1,140.00",คู่
358M5002IFL/R,ข้างลิ้นชักสแตนเลสรุ่น F-version ยาว 50ซม/30-50กก.                 ซ้าย/ขวา                 2อัน   x     590.00,"1,180.00",คู่
358M5004IGL/R,ข้างลิ้นชักใต้ซิ้งด้านในสแตนเลสยาว 50ซม/30-50กก.                     ซ้าย/ขวา                 2อัน   x     959.00,"1,918.00",คู่
Z30B000S.04NIL/R,ตัวยึดหลังลิ้นชักสีนิกเกิล B-height                                                      ซ้าย/ขวา                  2อัน   x       76.00,152.00,คู่
Z30D000SNIL/R,ตัวยึดหลังลิ้นชักสีนิกเกิล D-height                                                      ซ้าย/ขวา                  2อัน   x     109.00,218.00,คู่
Z30D000S.45NIL/R,ตัวยึดหลังลิ้นชักสีนิกเกิล D-height  ใช้กับลิ้นชักเข้ามุม                     ซ้าย/ขวา                  2อัน   x     140.00,280.00,คู่
Z30M000S.04NIL/R,ตัวยึดหลังลิ้นชักสีนิกเกิล M-height                                                     ซ้าย/ขวา                  2อัน   x      49.00,98.00,คู่
Z30M000S.45NIL/R,ตัวยึดหลังลิ้นชักสีนิกเกิล M-height  ใช้กับลิ้นชักเข้ามุม                     ซ้าย/ขวา                  2อัน   x      69.00,138.00,ค่
Z30N000S.04NIL/R,ตัวยึดไม้แบ่งน้ำหนักลิ้นชัก สีนิกเกิล ใช้กับ Z30N0002.6Z               ซ้าย/ขวา                 2อัน   x      49.00,98.00,คู่
ZRR.5000.NI,ตัวยึดหลังแบบเสริมนิเกิล,45.00,อัน
*ZRG.396V.IC.CR,ราวเสริมข้างลิ้นชักสีโครมฯ ใช้กับรางฯ 45ซม. (สินค้าสั่งพิเศษ)                                       (MIN.100เส้น) ,189.00,เส้น
ZRG.446V.IC.CR,ราวเสริมข้างลิ้นชักสีโครเมี่ยม,175.00,เส้น
Z31A1081A.NI,หน้าลิ้นชักทำด้วยอลูมิเนียมสีโครเมี่ยมยาว 1081มม. ตัดได้,"1,500.00",อัน
Z37H418I.E,แผ่นปิดข้างลิ้นชักทำด้วยสแตนเลสใช้กับรางฯ 45ซม (สินค้าสั่งพิเศษ)                               (MIN.10ชุด) ,"1,490.00",ชุด
Z37H468I.E,"แผ่นปิดข้างลิ้นชัก ""double BOXSIDE"" ทำด้วยสแตนเลส                                  ","1,460.00",ชุด
Z46C470I.E2,แผ่นกั้นในลิ้นชักทำด้วยสแตนเลส                                  ,"2,150.00",อัน
ZRG.1094U.CR,ราวกั้นตามขวางสีโครเมี่ยมยาว 1094มม. ตัดได้,399.00,เส้น
ZFI.30BZI6N,ชุดที่เก็บขวดสแตนเลส สำหรับตู้กว้าง 30ซม.,"6,359.00",ชุด
Z40H277I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 40ซม.,510.00,อัน
Z40H377I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 50ซม.,600.00,อัน
Z40H477I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 60ซม.,650.00,อัน
Z40H548I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้เก็บอาหารแห้งกับชุดเก็บขวดกว้าง 90ซม.,700.00,อัน
Z40H677I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 80ซม.,900.00,อัน
Z40H777I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 90ซม.,950.00,อัน
Z40H877I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 1.00ม.,"1,000.00",อัน
Z40H1077I,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 1.20ม.,1200.00,อัน
Z43H100I.01,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ,270.00,อัน
Z40H277I.R,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 40ซม.,510.00,อัน
Z40H377I.R,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 50ซม.,600.00,อัน
Z40H477I.R,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 60ซม.,650.00,อัน
Z40H677I.R,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 80ซม.,900.00,อัน
Z40H777.IR,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 90ซม.,950.00,อัน
Z40H877I.R,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 1.00ม.,"1,000.00",อัน
Z40H1077I.R,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับตู้กว้าง 1.20ม.,1200.00,อัน
Z43H100I.01,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ,270.00,อัน
*ZRI.90B006.CR,ชุดราวกั้นแบ่งช่องฯ (เป็นเส้น) สีโครมเมี่นม ใช้กับตู้กว้าง 60-90ซม. (ตัดได้),"1,210.00",ชุด 
*Z40M5451,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยสแตนเลส ใช้กับชุดลิ้นชักใต้ซิ้งค์กว้าง 90ซมใ - 1.00ม,435.00,อัน
*358M4502S,ข้างลิ้นชักสีเทายาว 45ซม/30-50กก ด้านซ้าย/ขวา พร้อมฝาปิด (สินค้าสั่งพิเศษ)                    (MIN.6ชุด),709.00,ชุด
358M5002SL/R,ข้างลิ้นชักสีเทายาว 45ซม/30-50กก                                                      ซ้าย/ขวา           2อัน    x    289.00,578.00,คู่
358M5004SGL/R,ข้างลิ้นชักใต้ซิ้งสีเทายาว 50ซม (SINK CABINET II)                        ซ้าย/ขวา           2อัน    x    369.00,738.00,คู่
Z30B000S.04L/R,ตัวยึดหลังลิ้นชักสีนิกเกิล B-height                                                      ซ้าย/ขวา            2อัน   x       39.00,78.00,คู่
Z30D000SL/R,ตัวยึดหลังลิ้นชักสีนิกเกิล D-height                                                      ซ้าย/ขวา           2อัน   x        56.00,112.00,คู่
Z30D000S.45L/R,ตัวยึดหลังลิ้นชักสีนิกเกิล D-height  ใช้กับลิ้นชักเข้ามุม                      ซ้าย/ขวา           2อัน   x        89.00,178.00,คู่
Z30M000S.04L/R,ตัวยึดหลังลิ้นชักสีนิกเกิล M-height                                                     ซ้าย/ขวา            2อัน   x       30.00,60.00,คู่
Z30N000S.04L/R,ตัวยึดไม้แบ่งหน้าลิ้นชัก สีนิกเกิล ใช้กับ Z30N0002.6Z                     ซ้าย/ขวา            2อัน   x       30.00,60.00,คู่
Z30M000S.45L/R,ตัวยึดหลังลิ้นชักสีนิกเกิล M-height  ใช้กับลิ้นชักเข้ามุม                     ซ้าย/ขวา            2อัน   x       52.00,104.00,คู่
ZRR.5000.WA,ตัวยึดหลังแบบเสริมสีเทา,32.00,อัน
*ZRG.396V.IC,ราวเสริมข้างลิ้นชักสีเทา ใช้กับรางฯ 45ซม. (สินค้าสั่งพิเศษ)                                           (MIN.100เส้น) ,89.00,เส้น
ZRG.446V.IC.CR,ราวเสริมข้างลิ้นชักสีเทา,75.00,เส้น
Z31A1081A.WA,หน้าลิ้นชักทำด้วยอลูมิเนียมสีเทายาว 1081มม. ตัดได้,490.00,อัน
*Z37H418S.E,แผ่นปิดข้างลิ้นชักสีเทาใช้กับรางฯ 45ซม (สินค้าสั่งพิเศษ)                                                     (MIN.10ชุด) ,609.00,ชุด
Z37H468S.E,"แผ่นปิดข้างลิ้นชัก ""double BOXSIDE"" ทำด้วยเหล็กเคลือบอิพ๊อกซี่สีเทา                   ",720.00,ชุด
Z46C470S.E2,แผ่นกั้นในลิ้นชักทำด้วยเหล็กเคลือบอิพ๊อกซี่สีเทา                             ,"1,350.00",อัน
ZRG.1094U.WA,ราวกั้นตามขวางสีเทายาว 1094มม. ตัดได้,120.00,เส้น
Z40H177S,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยเคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 30ซม.,279.00,อัน
Z40H477S,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยเคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 60ซม.,329.00,อัน
Z40H777S,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยเคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 90ซม.,460.00,อัน
Z40H1077S,แผ่นกั้นแบ่งช่องตามขวาง ทำด้วยเคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 1.20ม.,610.00,อัน
Z43H100S.01,แผ่นกั้นแบ่งช่องย่อยเคลือบอิพ๊อกซี่สีเทา,169.00,อัน
Z40H177S.R,แผ่นกั้นแบ่งช่องตามขวาง เคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 30ซม.,279.00,อัน
Z40H477S.R,แผ่นกั้นแบ่งช่องตามขวาง เคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 60ซม.,329.00,อัน
Z40H777S.R,แผ่นกั้นแบ่งช่องตามขวาง เคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 90ซม.,460.00,อัน
Z40H1077S.R,แผ่นกั้นแบ่งช่องตามขวาง เคลือบอิพ๊อกซี่สีเทาใช้กับตู้กว้าง 1.20ซม.,610.00,อัน
Z43H100S.01,แผ่นกั้นแบ่งช่องย่อยเคลือบอิพ๊อกซี่สีเทา,169.00,อัน
ZRI.50B006.WA,ชุดราวกั้นแบ่งช่องฯ (เป็นเส้น) สีGMK ใช้กับตู้กว้าง 45-50ซม. (ตัดได้),559.00,ชุด
ZRI.60B006.WA,ชุดราวกั้นแบ่งช่องฯ (เป็นเส้น) สีGMK ใช้กับตู้กว้าง 45-60ซม. (ตัดได้),579.00,ชุด
*358M5002AL/R,ข้างลิ้นชักทำด้วยอลูมิเนียมยาว 50ซม/30กก                                                         ซ้าย/ขวา           2อัน    x    576.00,"1,152.00",คู่
*RG.446V.AL,ราวเสริมข้างลิ้นชักสีอลูมิเนียม,146.00,เส้น
*ZRG.1094U.AL,ราวกั้นตามขวางสีอลูมิเนียมยาว 1094มม ตัดได้,153.00,เส้น
*Z37H468A.E.,"แผ่นปิดข้างลิ้นชัก ""double BOXSIDE"" ทำด้วยอลูมิเนียม","1,355.00",ชุด
ZSI.500BI3,ถาดใส่ช้อนส้อมสแตนเลสขนาด 28.00ซม x 47.40ซม,"2,450.00",อัน
ZSI.500FI3,ที่แบ่งช่องในลิ้นชักทำด้วยสแตนเลสใช้วางเครื่องครัวขนาด 37.70 x 47.40ซม,"1,850.00",อัน
ZSI.500MI3,ถาดใส่ช้อนส้อมสแตนเลสขนาด 29.70 x 47.40ซม,"3,350.00",อัน
ZSI.500KI2N,ถาดใส่ช้อนส้อมสแตนเลสขนาด 20.00 x 47.40ซม,"2,190.00",อัน
ZSI.500KI4,ถาดใส่ช้อนส้อมสแตนเลสขนาด 37.70 x 47.40ซม,"3,150.00",อัน
ZTH.0350,ที่เก็บจาน,"2,375.00",อัน
ZSZ.02M0,ที่เก็บมีด,"1,059.00",อัน
ZFZ.30G0I,ที่เก็บเครื่องปรุง ใช้กับตู้กว้าง 30ซม,750.00,อัน
ZFZ.40G0I,ที่เก็บเครื่องปรุง ใช้กับตู้กว้าง 40ซม,970.00,อัน
ZFZ.45G0I,ที่เก็บเครื่องปรุง ใช้กับตู้กว้าง 45ซม,"1,129.00",อัน
Z48.30B0I6,ถาดวางขวดทำด้วยสแตนเลสใช้กับตู้กว้าง 30ซม,"2,149.00",อัน
993.0830.01,ปุ่มเว้นระยะติดหน้าบาน Ø 8มม,29.00,อัน
Z10A3000.01,ตัดกดกระเด้งใช้ไฟฟ้า,"3,190.00",อัน
Z10D01E2.01,ตัวยึดแผ่นอลูมิเนียมยึดบน,59.00,อัน
Z10D01E1,ตัวยึดแผ่นอลูมิเนียมยึดพื้นตู้,59.00,อัน
Z10D01EA,ตัวยึดแผ่นอะลูมิเนี้ยยึดหลังตู้/พื้นตู้ พร้อมฝาปิด,199.00,ชุด
Z10T770AA,แผ่นอลูมิเนียมใช้ติดตัวกดกระเด้งยาว 77ซม พร้อมสายไฟ (ตัดได้),"1,669.00",อัน
Z10K1HMA,สายไฟสีดำ (ยาวม้วนละ 100ม),129.00,ม.
Z10M200E,ปลั๊กไฟ 2ขา พร้อมสายไฟยาว 20ซม,299.00,อัน
Z10M200U,ปลั๊กไฟ 3ขา พร้อมสายไฟยาว 20ซม,299.00,อัน
Z10NE050.01,หม้อแปลง INPUT VOLTAGE 100-240VAC/OUTPUT VOLAGATE 24VAC,"5,299.00",อัน
Z10NG000,กล่องเก็บหม้อแปลงฝังกับพื้นตู้,299.00,อัน
Z10NG100,กล่องเก็บหม้อแปลงยึดติดหลังตู้,299.00,อัน
Z10V1000,ตัวเชื่อมต่อสายไฟ,219.00,อัน
Z10K0009,ตัวเก็บสายไฟ,39.00,อัน
Z10K0008,ตัวปิดสายไฟ,19.00,อัน
Z10K120S,สายเชื่อมต่อตัวกดกระเด้ง,419.00,อัน
Z10D7101,ฐานติดตัวกดกระเด้ง ใช้กับลิ้นชักใต้ซิ้งค์แบบเตี้ย,539.00,อัน
Z10D7201,ฐานติดตัวกดกระเด้ง ใช้กับลิ้นชักใต้ซิ้งค์แบบสูง,639.00,อัน
ZST.0BAL.L,Slide Stabiliser ตัวกันลิ้นชักโครง ด้านซ้าย                                                                  (MIN.100อัน),119.00,อัน
ZST.0BAL.R,Slide Stabiliser ตัวกันลิ้นชักโครง ด้านขวา                                                                  (MIN.100อัน),119.00,อัน
ZST.4500BZL,รางติดข้างตู้ยาว 45ซม ด้านซ้าย ใช้กับตัวกันโครง                                                        (MIN.100อัน),390.00,อัน
ZST.4500BZR,รางติดข้างตู้ยาว 45ซม ด้านขวา ใช้กับตัวกันโครง                                                        (MIN.100อัน),390.00,อัน
ZST.5000BZL,รางติดข้างตู้ยาว 50ซม ด้านซ้าย ใช้กับตัวกันโครง                                                        (MIN.100อัน),139.00,อัน
ZST.5000.BZR,รางติดข้างตู้ยาว 50ซม ด้านขวา ใช้กับตัวกันโครง                                                        (MIN.100อัน),139.00,อัน
ZST.2000W,ราวกันโครงใช้กับตัวกันโคลง ยาว 2เมตร(ตัดได้)                                                         (MIN.500เส้น),250.00,เส้น
